unit	cluster	hap1	hap2	purity	score
424	1	32	0	1.0000	149.2408
511	0	10	10	0.5000	48.2689
1747	1	0	27	1.0000	279.4550
1526	0	1	32	0.9697	250.3985
1258	0	22	0	1.0000	556.0022
412	0	1	25	0.9615	231.1673
554	0	3	21	0.8750	79.0496
1294	1	20	0	1.0000	294.0199
857	1	26	0	1.0000	272.4968
1638	1	13	5	0.7222	36.6440
61	0	25	0	1.0000	189.1494
447	1	3	19	0.8636	189.6809
1484	1	21	12	0.6364	49.0650
1653	1	22	0	1.0000	400.4716
1685	0	0	11	1.0000	125.9470
1299	1	18	7	0.7200	76.6629
214	0	11	13	0.5417	44.5095
340	1	1	28	0.9655	306.3704
1113	0	0	23	1.0000	0.0000
1039	0	15	12	0.5556	57.0860
1827	0	17	15	0.5312	0.0000
978	1	24	0	1.0000	175.8541
924	0	24	15	0.6154	0.0000
107	1	29	1	0.9667	310.8225
1014	0	10	15	0.6000	34.7610
83	1	7	11	0.6111	61.9265
1156	0	4	21	0.8400	60.7595
1218	0	4	20	0.8333	46.2253
1755	0	10	13	0.5652	36.3422
382	1	17	14	0.5484	69.3398
259	1	0	29	1.0000	319.2704
1483	0	24	4	0.8571	70.0788
1415	0	37	0	1.0000	0.0000
1199	1	26	0	1.0000	163.1175
1414	0	23	20	0.5349	0.0000
1261	0	28	0	1.0000	401.4474
1589	1	0	37	1.0000	192.3500
1838	1	5	5	0.5000	83.9505
156	1	0	31	1.0000	220.8557
952	0	24	1	0.9600	221.9006
1778	0	28	24	0.5385	0.0000
267	1	0	30	1.0000	198.5871
775	1	18	2	0.9000	112.8743
790	1	2	27	0.9310	119.0586
587	1	6	24	0.8000	190.2030
353	1	4	24	0.8571	92.5582
58	1	0	24	1.0000	200.8506
594	1	20	0	1.0000	403.2597
1010	0	0	27	1.0000	0.0000
1348	0	0	27	1.0000	214.6681
359	0	0	23	1.0000	0.0000
1060	0	20	0	1.0000	0.0000
1165	1	2	22	0.9167	66.9011
220	1	8	14	0.6364	42.8760
1885	0	6	14	0.7000	49.3264
1595	0	24	2	0.9231	0.0000
1421	0	15	28	0.6512	64.5057
1362	0	0	15	1.0000	155.4532
411	0	0	25	1.0000	263.2248
1037	0	36	0	1.0000	130.7464
1058	0	0	28	1.0000	0.0000
1190	0	1	20	0.9524	66.1319
1357	0	13	12	0.5200	58.8041
1850	0	18	16	0.5294	0.0000
822	0	34	28	0.5484	0.0000
1864	0	27	18	0.6000	0.0000
980	0	22	0	1.0000	254.2919
56	0	11	17	0.6071	45.4109
1725	0	32	0	1.0000	295.6495
1715	0	27	0	1.0000	139.7945
958	1	26	0	1.0000	144.1460
1463	0	2	32	0.9412	91.6389
1100	1	24	0	1.0000	497.1415
869	0	0	24	1.0000	0.0000
646	0	29	2	0.9355	91.6263
504	1	29	5	0.8529	114.8791
595	0	10	11	0.5238	40.5304
413	1	2	21	0.9130	210.8430
608	1	14	18	0.5625	55.9046
854	1	12	20	0.6250	39.6946
320	1	9	13	0.5909	61.7757
244	1	0	29	1.0000	83.0463
773	1	19	0	1.0000	299.7433
277	0	15	14	0.5172	62.4944
58	0	21	0	1.0000	200.8506
25	1	23	0	1.0000	244.7704
613	0	29	0	1.0000	223.7510
125	0	42	0	1.0000	300.4941
252	0	18	14	0.5625	47.4605
1134	1	25	2	0.9259	93.1456
1578	1	24	0	1.0000	138.8201
243	1	15	16	0.5161	40.7470
1229	0	8	14	0.6364	45.7815
103	1	24	0	1.0000	223.7649
1393	0	11	0	1.0000	0.0000
580	1	22	10	0.6875	53.7785
1332	0	27	0	1.0000	0.0000
852	1	24	0	1.0000	153.6890
624	1	14	10	0.5833	44.7560
1502	0	34	0	1.0000	0.0000
651	0	1	28	0.9655	84.6897
65	0	42	0	1.0000	0.0000
191	0	10	14	0.5833	51.6895
1418	0	38	0	1.0000	0.0000
1243	1	11	13	0.5417	56.1087
716	0	0	25	1.0000	280.8129
803	0	10	14	0.5833	67.8788
585	0	21	5	0.8077	90.5052
501	0	23	0	1.0000	0.0000
546	1	29	0	1.0000	621.8635
316	1	14	9	0.6087	45.5176
1899	1	8	6	0.5714	169.1014
1167	0	0	27	1.0000	0.0000
1722	0	18	18	0.5000	59.0645
884	1	2	24	0.9231	87.7899
947	0	11	10	0.5238	33.1455
1203	0	30	3	0.9091	134.3427
1308	1	29	2	0.9355	144.7400
1344	0	21	25	0.5435	0.0000
1027	1	0	27	1.0000	110.6161
642	0	28	27	0.5091	0.0000
1234	0	14	8	0.6364	55.0611
1824	0	13	12	0.5200	0.0000
1178	0	2	20	0.9091	106.9122
1338	1	1	23	0.9583	156.5496
1516	0	30	0	1.0000	234.4209
119	0	25	0	1.0000	81.5929
925	1	14	14	0.5000	51.4154
794	1	14	7	0.6667	36.7725
1445	2	0	24	1.0000	167.7838
1410	1	22	0	1.0000	276.1688
217	1	17	20	0.5405	59.5481
958	0	1	27	0.9643	144.1460
1057	0	0	22	1.0000	0.0000
1281	1	20	8	0.7143	43.9170
1217	1	10	6	0.6250	46.6174
478	0	1	24	0.9600	242.1078
262	1	42	0	1.0000	408.8803
1082	1	17	27	0.6136	74.0331
1458	0	27	1	0.9643	81.5377
295	0	6	11	0.6471	44.0226
568	0	0	27	1.0000	172.9415
1517	1	21	8	0.7241	59.0917
1369	1	26	5	0.8387	110.2562
404	1	0	30	1.0000	125.9864
1708	1	2	12	0.8571	54.6017
1289	1	0	28	1.0000	186.6571
669	0	31	1	0.9688	101.8070
169	0	10	12	0.5455	47.6786
1478	0	10	9	0.5263	43.6153
1050	1	0	30	1.0000	208.4520
929	0	0	24	1.0000	149.9945
217	0	12	16	0.5714	59.5481
1919	1	5	12	0.7059	62.6554
478	1	26	0	1.0000	242.1078
1680	0	39	0	1.0000	0.0000
1072	0	21	0	1.0000	0.0000
969	1	30	0	1.0000	311.1813
1370	0	28	0	1.0000	205.8687
122	1	1	30	0.9677	116.1895
559	0	27	0	1.0000	140.5615
957	1	21	12	0.6364	59.9280
1281	0	11	13	0.5417	43.9170
1168	0	0	27	1.0000	0.0000
1687	1	19	0	1.0000	226.4879
127	0	1	23	0.9583	251.1025
876	0	8	18	0.6923	111.8572
838	1	12	14	0.5385	55.2595
1828	0	10	8	0.5556	248.0336
470	1	25	0	1.0000	169.3061
543	1	0	28	1.0000	597.0754
327	1	16	13	0.5517	42.3818
446	1	1	23	0.9583	344.0687
1374	0	20	0	1.0000	0.0000
1752	1	5	25	0.8333	98.5627
121	0	0	29	1.0000	137.2680
1139	0	29	34	0.5397	0.0000
963	1	21	0	1.0000	65.6410
180	0	14	12	0.5385	45.8388
575	0	24	0	1.0000	233.6530
470	0	1	23	0.9583	169.3061
931	0	4	19	0.8261	93.9038
654	1	0	24	1.0000	290.3635
