unit	cluster	hap1	hap2	purity	score
255	0	26	0	1.0000	0.0000
749	1	0	22	1.0000	44.0499
518	1	0	22	1.0000	78.9093
682	0	0	27	1.0000	239.3228
951	1	23	1	0.9583	58.3177
414	0	22	0	1.0000	0.0000
1253	0	30	3	0.9091	278.7810
1103	0	4	14	0.7778	40.2033
1331	1	0	29	1.0000	377.4665
36	1	0	32	1.0000	300.1597
603	0	0	28	1.0000	70.5080
911	1	0	27	1.0000	199.8334
798	0	32	20	0.6154	71.9958
1774	0	27	25	0.5192	43.5730
529	0	0	24	1.0000	0.0000
1216	0	0	32	1.0000	106.8075
1484	1	4	23	0.8519	49.0650
793	1	16	0	1.0000	175.0143
774	0	0	23	1.0000	244.4759
110	0	0	32	1.0000	168.4270
421	0	0	24	1.0000	103.2630
777	0	0	25	1.0000	262.7882
1134	0	0	25	1.0000	93.1456
725	0	23	0	1.0000	82.3943
1083	0	35	32	0.5224	0.0000
369	1	33	3	0.9167	50.4878
1009	0	0	30	1.0000	0.0000
1239	1	0	33	1.0000	206.1776
1229	0	8	4	0.6667	45.7815
1718	0	33	0	1.0000	0.0000
116	1	18	15	0.5455	73.4636
881	0	1	23	0.9583	182.2312
216	1	0	16	1.0000	61.0297
1497	0	0	14	1.0000	137.8042
1707	1	21	0	1.0000	53.2344
503	1	0	22	1.0000	308.7453
885	1	29	1	0.9667	57.5797
1278	0	31	0	1.0000	273.6033
1347	1	8	2	0.8000	81.7544
795	1	0	31	1.0000	388.7106
1221	0	0	25	1.0000	198.5921
1607	1	0	28	1.0000	148.0874
1615	1	0	27	1.0000	285.3472
889	1	2	1	0.6667	39.6931
609	1	0	34	1.0000	39.9881
1663	0	30	26	0.5357	0.0000
41	0	34	0	1.0000	0.0000
1578	0	24	0	1.0000	138.8201
926	1	27	0	1.0000	130.1211
645	0	30	34	0.5312	0.0000
826	0	30	31	0.5082	0.0000
320	1	36	1	0.9730	61.7757
390	0	28	0	1.0000	279.4341
14	1	36	0	1.0000	424.3756
1247	1	0	22	1.0000	41.4622
1411	0	0	22	1.0000	333.1453
1576	0	0	16	1.0000	127.0804
540	0	0	24	1.0000	175.9237
1741	0	18	0	1.0000	0.0000
1580	1	31	0	1.0000	162.2293
1449	0	25	28	0.5283	0.0000
814	0	0	27	1.0000	257.4829
1331	0	38	0	1.0000	377.4665
1336	1	19	22	0.5366	51.1126
534	1	23	0	1.0000	136.0653
1434	1	29	0	1.0000	289.0870
614	0	30	0	1.0000	205.3371
1128	1	20	21	0.5122	66.6495
430	0	0	36	1.0000	0.0000
1360	1	36	0	1.0000	135.9124
1800	0	20	14	0.5882	0.0000
1337	1	25	1	0.9615	46.8450
1349	1	0	27	1.0000	232.1070
864	1	30	0	1.0000	34.7886
80	0	0	33	1.0000	310.3936
1508	0	0	22	1.0000	0.0000
1371	1	6	23	0.7931	41.3512
773	0	19	0	1.0000	299.7433
1215	1	28	0	1.0000	314.8060
154	1	0	34	1.0000	309.2228
1299	0	2	24	0.9231	76.6629
159	1	23	0	1.0000	94.0945
