1796	528-0,322-1,62-0,242-1,273-0,181-0,191-1,61-0,208-0,60-1
1797	354-1,288-0,491-0,22-1,45-0,21-0,424-0,363-0,165-1,490-1,20-0,44-0,463-0,314-1,19-1,498-0
1798	50-1,247-0,113-1,188-1,51-1,289-0
1799	355-0
1800	273-0,181-1,191-1
1801	3-1,438-0,29-1,175-0
1802	42-0,276-0,15-1
1804	304-0,346-1,203-1
1805	271-0
1806	524-0,352-0,153-1,295-0,154-1
1807	167-1,17-1,323-1,152-0,446-0,315-0,201-0,510-1,253-0,200-1,316-0,199-0,340-0
1809	515-1,277-1,309-0,279-1,72-0,182-1,278-0,310-0
1810	540-1,531-0,529-1,332-0,445-0
1811	325-0
1812	98-0,122-1
1813	343-0,477-0,537-0,535-0,55-1,37-0,353-0,434-0
1814	317-0,525-0,370-1,340-1,199-1,316-1,200-0,253-1,510-0,201-1,315-1
1815	509-0,519-1,395-1,523-1
1816	305-1,162-0
1817	317-0,370-1,340-1,199-1
1818	384-1
1819	235-1,251-0
1820	117-0,139-0,118-0
1821	519-0,509-1,362-1,401-0,327-1,326-0,328-0,402-1,204-0,493-0,478-1
1822	15-0,276-1,42-1,283-1,350-1,41-1,282-0,480-0,479-0,281-0,349-1,308-1,280-0,277-0
1823	194-0,386-0,440-1,195-1
1824	450-1,46-1,354-0,288-1,491-1
1825	357-0,431-1,89-0,356-0,197-1
1826	310-0,351-0,393-1,311-0,183-1,392-0,312-1,187-0,441-0,313-0,206-1,461-0,186-0,442-0,262-1,184-1,73-1,173-1,207-0
1827	478-1,493-0,204-0,402-1,328-0
1828	198-0
1830	10-0,532-0,11-1,301-1,12-0,300-1,94-1
1831	286-1,409-0,32-1,410-1,31-0
1832	520-1,239-1,539-0,9-1,368-1,538-1,449-0,369-0,10-0
1833	338-0,166-1,364-1
1835	452-0,91-0,359-0,432-0
1836	210-0,5-1,464-0,408-0
1837	186-1,461-1
1839	129-1,160-0
1840	400-1,234-0,476-1,542-1,399-1,233-1,487-0,543-0,232-1
1842	48-1,114-0,23-0,47-0,457-1
1843	411-1,548-1,413-1,209-0
1844	355-0,357-0
1845	362-1,509-1,519-0,395-0
1846	206-1,441-0,187-0,312-1,392-0,183-1,311-0,393-1,351-0,310-0,278-0,182-1,72-0,279-1
1848	548-0,413-0,209-1,70-1,439-1,30-1,3-1,438-1,29-0
1849	212-1,157-0,504-1,522-1,222-0
1850	118-0,138-1,119-1,137-0
1851	391-1,179-1
1853	316-1
1854	54-1
1855	72-0,279-1,309-0,277-1,515-1,100-1,280-1,308-0,349-0,281-1,479-1,480-1,282-1,41-0,350-1,283-1,276-0,15-1
1856	232-0,475-0,545-1,231-1
1857	66-1,467-1,512-1,65-1,468-1,513-1
1860	551-1,93-1,549-1,541-1,514-1
1861	350-1,283-1,42-1,276-1,15-0,516-0,428-0,341-1,330-1
1862	357-1,355-1,387-1
1864	521-1,14-1,297-0,427-0,108-1,143-0,298-0
1867	39-0
1868	537-0,535-0,55-1,37-0
1869	193-0,318-1,423-0,474-1,426-1,499-1,473-1,436-1,194-0,386-0,440-0,195-1
1870	158-1,49-1,24-0,48-0,248-0,412-0,114-1,23-1
1871	36-0,271-1,433-0,116-0,500-0,35-1,57-1,34-1,58-1,33-0,270-0,320-0,285-0,269-0
1872	157-0,212-1,374-1,211-0,223-1,176-1,156-1,527-0
1873	94-1,146-0,300-1,12-1
1874	244-1,112-0,245-0,289-0,159-0,51-1
1875	461-1,186-1,442-1,262-0,184-0,71-1,73-0,173-0,207-1,205-1,306-0
1876	286-1,4-0,210-0,464-0,68-1,465-1,407-0,67-0,466-0
1877	211-1,223-0,292-0,156-1
1878	423-1,318-0,193-1,240-0,192-1,241-1,272-1,319-0,518-1
1879	44-1,20-1,490-0,165-1,363-1,424-1
1880	160-1,129-0,161-1,492-0,97-0,375-0,128-0,162-1,305-0,96-0,376-1,99-1,127-1,163-1,0-1,25-1,378-0,335-1,26-0,164-0
1881	438-0,29-0,175-0,28-0,2-0,507-1,437-0,482-1
1882	16-1,331-0,342-1
1883	219-0,372-0,213-1
1884	145-0,94-1,144-0,95-0,298-0,427-0,379-1,297-0,14-1,521-0,202-1
1885	316-1,199-1,340-1,370-1,525-0,317-0,198-0,417-0,177-1
1886	241-0,192-0,240-1,193-0,318-1,423-0,474-1
1887	299-1,145-1,94-0,144-0
1888	208-1
1889	21-1
1891	351-1,278-1,182-0,72-1,279-0,309-1,277-0,515-0,100-0,280-0,308-1,349-1,480-0
1892	207-0,205-0,306-1,185-1,74-0,172-0,189-0,385-1,534-1,75-0,171-1,321-1,190-1,405-1,170-0,243-1,60-0,208-1,61-1
1893	56-1,149-1,434-1,353-1,37-1,55-0,535-1
1894	93-1,549-1,541-0,514-0,496-0,429-0,495-0
1895	10-0,369-0,449-0,538-1,368-1,8-0,520-1
1896	290-1,360-1,274-1,98-1,122-0,267-0,403-1,291-0,132-1,275-0,133-0,121-1,134-1,256-0,550-1,120-1
1897	147-0,103-1
1898	132-1,291-1,403-1
1899	286-1,69-0,409-0
1900	175-0,28-1,507-1,437-0
1901	412-1,248-1,48-1,24-1,49-0,158-0,501-1,50-0,247-1,113-0,188-0,246-0
1902	307-0,505-0,456-1,266-0
1904	521-0
1906	189-1,172-1
1907	179-1,460-1,391-1,435-0,102-1,459-1,124-0,383-1,458-1,82-0,180-1,83-0,226-0,84-1,227-0,125-0,382-1,462-0,101-1,228-1
1908	78-0,87-1,517-0,77-0
1909	141-1,448-1,451-0,92-1
1910	266-1
1911	260-1,266-0,456-1
1912	187-1
1913	172-1,189-1
1915	240-1,192-0,241-0,272-1,319-1
1916	433-1,271-0
1917	283-1,42-0,276-0,15-1,516-1,428-1,341-0,330-0,342-0,331-1,16-0,52-1,40-0,53-0,54-1,38-0,123-1,508-0,470-1,343-0,477-0,469-0,43-1,537-0
1918	466-1,67-1,407-1
1919	310-0,278-0,182-1,72-0
1920	26-1,378-1,25-0,0-0
1921	468-0,65-0
1924	238-1,540-1,531-1,529-1,332-0,445-0,214-1
1925	143-0,108-1,427-0,379-1,297-0
1926	36-1,56-1,149-1,434-1,353-1,37-1,55-0,535-1,43-0,469-1
1927	189-1,385-0,534-0,75-1,171-0
1928	21-0,45-0,22-1
1929	332-1,445-1,214-0,418-0,333-0,419-1,420-1,336-0,404-1,421-0,215-1,394-0,337-0,547-1,422-0,384-0,444-0,216-1
1930	125-1,227-0,84-0
1931	242-0,191-0,61-1,208-1,60-0,243-1
1932	80-1,260-0,266-1,456-0,505-1,307-1,455-1,79-0,88-0,454-0,78-1
1933	268-0,284-0,269-0
1934	505-0,307-1
1935	117-1,139-1,138-0,137-1,255-0,136-0,120-1,135-1,550-1,430-0,396-1,256-0
1936	473-0,499-0,426-0,474-0,423-1,318-0,193-1,240-0,192-1
1938	223-0,211-1,374-0,212-0,504-0,522-0,222-1
1939	414-1,250-0,264-0,252-0,257-0
1940	236-1,225-0,251-1,235-0
1941	128-0,162-1,305-0,96-0,376-1,99-1,377-0,127-1
1942	49-1
1943	101-0
1944	131-0,130-1,533-1,361-0,160-1
1945	96-1
1946	417-1,198-1,317-1,525-1,370-0,340-0,199-0
1948	71-1,184-0,442-1,186-1,461-1,206-0
1949	114-0,23-0,47-0,457-1,450-1
1950	171-0,75-1,534-0,385-0,189-1,172-1,74-1
1951	73-1,71-0,184-1,442-0,186-0,461-0,206-1
1952	18-0,498-0,19-1
1953	494-1,92-1
1954	411-1,548-0
1955	274-1,360-1,290-0,131-1,237-1,130-0
1956	134-1,256-0,396-1,430-0,550-1,135-1,120-1,136-0
1957	335-1
1960	292-1,176-1
1961	407-0,465-1,68-1,408-0,464-0,5-1,210-0,4-0,69-0,409-0
1962	134-1
1963	284-0,268-0
1964	268-0,284-0,285-1,320-1,270-1
1965	152-0,446-0
1966	195-1,140-1,196-0,553-1,334-0
1967	335-0,26-1
1968	331-1,16-0,52-1,40-0,53-0,39-1,54-1,38-0,508-0,470-1
1969	459-0,102-0,391-0,460-0,179-0,217-0,261-1,254-0,178-1,117-0,139-0,118-0,138-1,119-1,255-1,136-0
1970	254-1,178-0,117-1,139-1,118-1,138-0,119-0,137-1,255-0,136-0,120-1,135-1,550-0,430-0,396-1,256-0,134-1
1971	323-0,152-0,446-0,315-0,201-0,510-1,253-0,200-1
1972	378-0,335-1
1973	454-1,79-1,455-0,307-0,505-0,456-1,266-0,260-1,80-0,406-0,107-1,552-1,81-0
1974	38-1,123-0,508-1,470-0,343-1
1975	33-1,58-0,34-1,57-0,35-0,500-1
1976	132-1,291-1,403-0,267-1,122-1,98-0,274-0,360-0
1977	478-0,204-1,402-0,328-1,327-0,401-1,362-0
1979	82-1,180-0,83-1
